"MatchUp","Winner","Normalized Difference"
"Villanova vs. Mount St Mary's","Villanova",2.38420018815158
"Wisconsin vs. Virginia Tech","Wisconsin",0.842553835661963
"Virginia vs. UNC Wilmington","Virginia",2.7736778499008
"Florida vs. East Tennessee State","Florida",2.45424417411277
"SMU vs. USC","SMU",0.173142547487419
"Baylor vs. New Mexico State","Baylor",2.0523021610625
"South Carolina vs. Marquette","South Carolina",0.498959677262852
"Duke vs. Troy","Duke",2.81467394407166
"Gonzaga vs. South Dakota State","Gonzaga",1.92950101734046
"Northwestern vs. Vanderbilt","Vanderbilt",0.131382421102929
"Notre Dame vs. Princeton","Notre Dame",2.16908439680359
"West Virginia vs. Bucknell","West Virginia",2.56374014410831
"Maryland vs. Xavier","Maryland",0.207871274587333
"Florida State vs. Florida Gulf Coast","Florida State",1.85741075435777
"Saint Mary's vs. VCU","VCU",0.567754441891616
"Arizona vs. North Dakota","Arizona",2.61550152832873
"Kansas vs. UC Davis","Kansas",2.51938204476286
"Miami vs. Michigan State","Michigan State",0.286384070194007
"Iowa State vs. Nevada","Iowa State",1.94713504799015
"Purdue vs. Vermont","Purdue",2.23364902116688
"Creighton vs. Rhode Island","Creighton",1.47932093877193
"Oregon vs. Iona","Oregon",1.56813090222565
"Michigan vs. Oklahoma State","Oklahoma State",0.149161955761788
"Louisville vs. Jacksonville State","Louisville",2.57126489301002
"North Carolina vs. Texas Southern","North Carolina",1.65096019355374
"Arkansas vs. Seton Hall","Arkansas",0.551215715537863
"Minnesota vs. Middle Tennessee","Minnesota",1.24574702985683
"Butler vs. Winthrop","Butler",1.83828513025648
"Cincinnati vs. Kansas State","Cincinnati",0.0435707757269107
"UCLA vs. Kent State","UCLA",1.6166113873812
"Dayton vs. Wichita State","Wichita State",0.802842504111948
"Kentucky vs. Northern Kentucky","Kentucky",2.60679910458414
"Villanova vs. Wisconsin","Wisconsin",0.155152951076026
"Virginia vs. Florida","Virginia",0.276557779386521
"SMU vs. Baylor","Baylor",0.502594638798212
"South Carolina vs. Duke","Duke",0.439287684412287
"Gonzaga vs. Vanderbilt","Gonzaga",0.233743396423626
"Notre Dame vs. West Virginia","West Virginia",0.0941657056788168
"Maryland vs. Florida State","Maryland",0.275015608838815
"VCU vs. Arizona","Arizona",0.820330676610805
"Kansas vs. Michigan State","Kansas",0.0232313958285519
"Iowa State vs. Purdue","Iowa State",0.138628320824499
"Creighton vs. Oregon","Oregon",0.151454244205217
"Oklahoma State vs. Louisville","Oklahoma State",0.0781717306897541
"North Carolina vs. Arkansas","North Carolina",0.425878496438643
"Minnesota vs. Butler","Butler",0.807347526502919
"Cincinnati vs. UCLA","Cincinnati",0.0196765408556984
"Wichita State vs. Kentucky","Kentucky",0.418413435157269
"Wisconsin vs. Virginia","Virginia",0.012291428795665
"Baylor vs. Duke","Duke",0.174992141293434
"Gonzaga vs. West Virginia","West Virginia",0.143231467301121
"Maryland vs. Arizona","Arizona",0.338686373669623
"Kansas vs. Iowa State","Kansas",0.122073212943398
"Oregon vs. Oklahoma State","Oklahoma State",0.0981220784496788
"North Carolina vs. Butler","North Carolina",0.314696904567633
"Cincinnati vs. Kentucky","Kentucky",0.370631394183442
"Virginia vs. Duke","Virginia",0.141364875113679
"West Virginia vs. Arizona","Arizona",0.22886246488405
"Kansas vs. Oklahoma State","Kansas",0.0169251983828696
"North Carolina vs. Kentucky","Kentucky",0.0457593647292332
"Virginia vs. Arizona","Virginia",0.149000686205362
"Kansas vs. Kentucky","Kentucky",0.143271707539552
"Virginia vs. Kentucky","Virginia",0.136614215184072
