Team One,Team Two,Winner
Kansas,Austin Peay,Kansas
Colorado,Connecticut,Connecticut
Maryland,South Dakota State,Maryland
California,Hawai'i,Hawai'i
Arizona,Wichita State,Wichita State
Miami,Buffalo,Miami
Iowa,Temple,Iowa
Villanova,UNC Asheville,Villanova
Oregon,Holy Cross,Oregon
Saint Joseph's,Cincinnati,Saint Joseph's
Baylor,Yale,Yale
Duke,UNC Wilmington,Duke
Texas,Northern Iowa,Northern Iowa
Texas A&M;,Green Bay,Texas A&M;
Oregon,VCU,VCU
Oklahoma,CSU Bakersfield,Oklahoma
North Carolina,Florida Gulf Coast,North Carolina
USC,Providence,Providence
Indiana,Chattanooga,Indiana
Kentucky,Stony Brook,Kentucky
Notre Dame,Michigan,Notre Dame
West Virginia,Stephen F. Austin,Stephen F. Austin
Wisconsin,Pittsburgh,Wisconsin
Xavier,Weber State,Xavier
Virginia,Hampton,Virginia
Texas Tech,Butler,Butler
Purdue,Little Rock,Little Rock
Iowa State,Iona,Iowa State
Seton Hall,Gonzaga,Gonzaga
Utah,Fresno State,Utah
Dayton,Syracuse,Syracuse
Michigan,Middle Tennessee,Middle Tennessee
Kansas,Connecticut,Kansas
Maryland,Hawai'i,Maryland
Wichita State,Miami,Miami
Iowa,Villanova,Villanova
Oregon,Saint Joseph's,Oregon
Yale,Duke,Duke
Northern Iowa,Texas A&M;,Texas A&M;
VCU,Oklahoma,Oklahoma
North Carolina,Providence,North Carolina
Indiana,Kentucky,Indiana
Notre Dame,Stephen F. Austin,Notre Dame
Wisconsin,Xavier,Wisconsin
Virginia,Butler,Virginia
Little Rock,Iowa State,Iowa State
Gonzaga,Utah,Gonzaga
Syracuse,Middle Tennessee,Syracuse
Kansas,Maryland,Kansas
Miami,Villanova,Villanova
Oregon,Duke,Oregon
Texas A&M;,Oklahoma,Oklahoma
North Carolina,Indiana,North Carolina
Notre Dame,Wisconsin,Notre Dame
Virginia,Iowa State,Virginia
Gonzaga,Syracuse,Syracuse
Kansas,Villanova,Villanova
Oregon,Oklahoma,Oklahoma
North Carolina,Notre Dame,North Carolina
Virginia,Syracuse,Syracuse
Villanova,Oklahoma,Villanova
North Carolina,Syracuse,North Carolina
Villanova,North Carolina,Villanova
