,Shooting Team,Shooter Name,Shooter ID,Shot Number,Quarter,Left Position,Top Position,Home Team,Away Team,Shot Status,Three Pointer,Assists,Text
0,home,DeMar DeRozan,3978,0,1,0.9,0.32,Phoenix Suns,Toronto Raptors,1,0,Kyle Lowry,DeMar DeRozan makes 9-foot Driving Floating Jump Shot (Kyle Lowry assists)
1,home,Lucas Nogueira,3032980,3,1,0.94,0.5,Phoenix Suns,Toronto Raptors,1,0,Kyle Lowry,Lucas Nogueira makes two point shot (Kyle Lowry assists)
2,home,DeMarre Carroll,3970,4,1,0.94,0.56,Phoenix Suns,Toronto Raptors,0,0,0,DeMarre Carroll  misses
3,home,Jonas Valanciunas,6477,5,1,0.92,0.52,Phoenix Suns,Toronto Raptors,1,0,0,Jonas Valanciunas makes tip shot
4,home,Lucas Nogueira,3032980,6,1,0.92,0.48,Phoenix Suns,Toronto Raptors,1,0,Kyle Lowry,Lucas Nogueira makes two point shot (Kyle Lowry assists)
5,home,Lucas Nogueira,3032980,7,1,0.94,0.5,Phoenix Suns,Toronto Raptors,1,0,Kyle Lowry,Lucas Nogueira makes dunk (Kyle Lowry assists)
6,home,DeMar DeRozan,3978,8,1,0.86,0.86,Phoenix Suns,Toronto Raptors,0,0,0,DeMar DeRozan  misses 20-foot jumper
7,home,Jonas Valanciunas,6477,9,1,0.94,0.5,Phoenix Suns,Toronto Raptors,0,0,0,Jonas Valanciunas  misses
8,home,Jonas Valanciunas,6477,10,1,0.95,0.52,Phoenix Suns,Toronto Raptors,1,0,0,Jonas Valanciunas makes tip shot
9,home,Jonas Valanciunas,6477,11,1,0.89,0.58,Phoenix Suns,Toronto Raptors,1,0,0,Jonas Valanciunas makes 6-foot two point shot
10,home,DeMarre Carroll,3970,12,1,0.94,0.54,Phoenix Suns,Toronto Raptors,0,0,0,DeMarre Carroll  misses two point shot
11,home,Kyle Lowry,3012,13,1,0.65,0.5,Phoenix Suns,Toronto Raptors,0,0,0,Kyle Lowry  misses Running Pullup Jump Shot
12,home,DeMarre Carroll,3970,14,1,0.77,0.92,Phoenix Suns,Toronto Raptors,1,1,Lucas Nogueira,DeMarre Carroll makes 25-foot  three point jumper  (Lucas Nogueira assists)
13,home,DeMarre Carroll,3970,15,1,0.8,0.96,Phoenix Suns,Toronto Raptors,0,1,0,DeMarre Carroll  misses 26-foot three point jumper
14,home,Lucas Nogueira,3032980,16,1,0.94,0.5,Phoenix Suns,Toronto Raptors,1,0,Jonas Valanciunas,Lucas Nogueira makes dunk (Jonas Valanciunas assists)
15,home,Kyle Lowry,3012,17,1,0.64,0.54,Phoenix Suns,Toronto Raptors,0,1,0,Kyle Lowry  misses 27-foot three point pullup jump shot
16,home,DeMarre Carroll,3970,20,1,0.87,0.56,Phoenix Suns,Toronto Raptors,0,0,0,DeMarre Carroll  misses 7-foot
