Team One,Team Two
Villanova,Mount St Mary's
Wisconsin,Virginia Tech
Virginia,UNC Wilmington
Florida,East Tennessee State
SMU,USC
Baylor,New Mexico State
South Carolina,Marquette
Duke,Troy
Gonzaga,South Dakota State
Northwestern,Vanderbilt
Notre Dame,Princeton
West Virginia,Bucknell
Maryland,Xavier
Florida State,Florida Gulf Coast
Saint Mary's,VCU
Arizona,North Dakota
Kansas,UC Davis
Miami,Michigan State
Iowa State,Nevada
Purdue,Vermont
Creighton,Rhode Island
Oregon,Iona
Michigan,Oklahoma State
Louisville,Jacksonville State
North Carolina,Texas Southern
Arkansas,Seton Hall
Minnesota,Middle Tennessee
Butler,Winthrop
Cincinnati,Kansas State
UCLA,Kent State
Dayton,Wichita State
Kentucky,Northern Kentucky
