Date,Shooting Team,Shooter Name,Shooter ID,Shot Number,Quarter,Left Position,Top Position,Home Team,Away Team,Shot Status,Three Pointer,Assists,Text
"February 16, 2017",home,Przemek Karnowski,62585,0,1,0.92,0.3,Gonzaga,San Francisco,1,0,0,Przemek Karnowski made Jumper.
"February 16, 2017",home,Johnathan Williams missed Jumpe,66260,1,1,0.81,0.22,Gonzaga,San Francisco,0,0,0,Johnathan Williams missed Jumper.
"February 16, 2017",home,Przemek Karnowski,62585,2,1,0.89,0.46,Gonzaga,San Francisco,1,0,0,Przemek Karnowski made Jumper.
"February 16, 2017",home,Nigel Williams-Goss missed Three Point Jumpe,67814,3,1,0.72,0.72,Gonzaga,San Francisco,0,0,0,Nigel Williams-Goss missed Three Point Jumper.
"February 16, 2017",home,Nigel Williams-Goss missed Jumpe,67814,4,1,0.82,0.56,Gonzaga,San Francisco,0,0,0,Nigel Williams-Goss missed Jumper.
"February 16, 2017",home,Jordan Mathews missed Three Point Jumpe,66328,5,1,0.94,0.06,Gonzaga,San Francisco,0,0,0,Jordan Mathews missed Three Point Jumper.
"February 16, 2017",home,Nigel Williams-Goss,67814,6,1,0.82,0.42,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Jumper. Assisted by Silas Melson.
"February 16, 2017",home,Josh Perkins,3155941,7,1,0.7,0.1,Gonzaga,San Francisco,1,0,0,Josh Perkins made Three Point Jumper. Assisted by Silas Melson.
"February 16, 2017",home,Nigel Williams-Goss,67814,8,1,0.89,0.48,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Layup.
"February 16, 2017",home,Johnathan Williams missed Layu,66260,9,1,0.91,0.46,Gonzaga,San Francisco,0,0,0,Johnathan Williams missed Layup.
"February 16, 2017",home,Zach Collins missed Layu,4066650,10,1,0.92,0.58,Gonzaga,San Francisco,0,0,0,Zach Collins missed Layup.
"February 16, 2017",home,Silas Melson,3155940,11,1,0.95,0.94,Gonzaga,San Francisco,1,0,0,Silas Melson made Three Point Jumper. Assisted by Josh Perkins.
"February 16, 2017",home,Przemek Karnowski missed Jumpe,62585,12,1,0.88,0.44,Gonzaga,San Francisco,0,0,0,Przemek Karnowski missed Jumper.
"February 16, 2017",home,Przemek Karnowski,62585,13,1,0.87,0.48,Gonzaga,San Francisco,1,0,0,Przemek Karnowski made Jumper. Assisted by Silas Melson.
"February 16, 2017",home,Przemek Karnowski,62585,14,1,0.92,0.44,Gonzaga,San Francisco,1,0,0,Przemek Karnowski made Layup. Assisted by Jordan Mathews.
"February 16, 2017",home,Zach Collins,4066650,18,1,0.92,0.46,Gonzaga,San Francisco,1,0,0,Zach Collins made Layup. Assisted by Przemek Karnowski.
"February 16, 2017",home,Josh Perkins missed Three Point Jumpe,3155941,19,1,0.79,0.03,Gonzaga,San Francisco,0,0,0,Josh Perkins missed Three Point Jumper.
"February 16, 2017",home,Nigel Williams-Goss,67814,20,1,0.94,0.06,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Three Point Jumper. Assisted by Josh Perkins.
"February 16, 2017",home,Jordan Mathews missed Three Point Jumpe,66328,23,1,0.77,0.9,Gonzaga,San Francisco,0,0,0,Jordan Mathews missed Three Point Jumper.
"February 16, 2017",home,Josh Perkins missed Three Point Jumpe,3155941,24,1,0.78,0.03,Gonzaga,San Francisco,0,0,0,Josh Perkins missed Three Point Jumper.
"February 16, 2017",home,Jordan Mathews missed Three Point Jumpe,66328,25,1,0.71,0.68,Gonzaga,San Francisco,0,0,0,Jordan Mathews missed Three Point Jumper.
"February 16, 2017",home,Silas Melson,3155940,30,1,0.74,0.88,Gonzaga,San Francisco,1,0,0,Silas Melson made Three Point Jumper. Assisted by Josh Perkins.
"February 16, 2017",home,Zach Collins,4066650,31,1,0.71,0.3,Gonzaga,San Francisco,1,0,0,Zach Collins made Three Point Jumper. Assisted by Nigel Williams-Goss.
"February 16, 2017",home,Johnathan Williams missed Three Point Jumpe,66260,32,1,0.75,0.8,Gonzaga,San Francisco,0,0,0,Johnathan Williams missed Three Point Jumper.
"February 16, 2017",home,Nigel Williams-Goss,67814,33,1,0.94,0.06,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Three Point Jumper. Assisted by Josh Perkins.
"February 16, 2017",home,Nigel Williams-Goss missed Three Point Jumpe,67814,34,1,0.67,0.52,Gonzaga,San Francisco,0,0,0,Nigel Williams-Goss missed Three Point Jumper.
"February 16, 2017",home,Nigel Williams-Goss missed Jumpe,67814,37,1,0.88,0.42,Gonzaga,San Francisco,0,0,0,Nigel Williams-Goss missed Jumper.
"February 16, 2017",home,Johnathan Williams missed Jumpe,66260,38,1,0.92,0.3,Gonzaga,San Francisco,0,0,0,Johnathan Williams missed Jumper.
"February 16, 2017",home,Przemek Karnowski,62585,39,2,0.87,0.58,Gonzaga,San Francisco,1,0,0,Przemek Karnowski made Jumper. Assisted by Nigel Williams-Goss.
"February 16, 2017",home,Nigel Williams-Goss,67814,40,2,0.79,0.1,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Three Point Jumper. Assisted by Josh Perkins.
"February 16, 2017",home,Nigel Williams-Goss,67814,43,2,0.69,0.36,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Three Point Jumper.
"February 16, 2017",home,Nigel Williams-Goss,67814,44,2,0.89,0.64,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Jumper.
"February 16, 2017",home,Przemek Karnowski missed Jumpe,62585,45,2,0.89,0.44,Gonzaga,San Francisco,0,0,0,Przemek Karnowski missed Jumper.
"February 16, 2017",home,Jordan Mathews,66328,46,2,0.9,0.46,Gonzaga,San Francisco,1,0,0,Jordan Mathews made Layup.
"February 16, 2017",home,Jordan Mathews missed Layu,66328,48,2,0.94,0.42,Gonzaga,San Francisco,0,0,0,Jordan Mathews missed Layup.
"February 16, 2017",home,Przemek Karnowski missed Layu,62585,49,2,0.9,0.52,Gonzaga,San Francisco,0,0,0,Przemek Karnowski missed Layup.
"February 16, 2017",home,Silas Melson missed Three Point Jumpe,3155940,50,2,0.81,0.1,Gonzaga,San Francisco,0,0,0,Silas Melson missed Three Point Jumper.
"February 16, 2017",home,Nigel Williams-Goss,67814,51,2,0.92,0.44,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Layup.
"February 16, 2017",home,Nigel Williams-Goss,67814,52,2,0.91,0.58,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Layup. Assisted by Jordan Mathews.
"February 16, 2017",home,Nigel Williams-Goss,67814,54,2,0.84,0.42,Gonzaga,San Francisco,1,0,0,Nigel Williams-Goss made Jumper.
"February 16, 2017",home,Silas Melson missed Jumpe,3155940,58,2,0.84,0.44,Gonzaga,San Francisco,0,0,0,Silas Melson missed Jumper.
"February 16, 2017",home,Josh Perkins missed Three Point Jumpe,3155941,61,2,0.94,0.06,Gonzaga,San Francisco,0,0,0,Josh Perkins missed Three Point Jumper.
"February 16, 2017",home,Jordan Mathews,66328,62,2,0.76,0.84,Gonzaga,San Francisco,1,0,0,Jordan Mathews made Three Point Jumper. Assisted by Nigel Williams-Goss.
"February 16, 2017",home,Jordan Mathews missed Three Point Jumpe,66328,65,2,0.95,0.94,Gonzaga,San Francisco,0,0,0,Jordan Mathews missed Three Point Jumper.
"February 16, 2017",home,Silas Melson,3155940,66,2,0.94,0.54,Gonzaga,San Francisco,1,0,0,Silas Melson made Layup. Assisted by Nigel Williams-Goss.
"February 16, 2017",home,Zach Collins,4066650,67,2,0.94,0.48,Gonzaga,San Francisco,1,0,0,Zach Collins made Layup. Assisted by Nigel Williams-Goss.
"February 16, 2017",home,Przemek Karnowski missed Jumpe,62585,69,2,0.94,0.7,Gonzaga,San Francisco,0,0,0,Przemek Karnowski missed Jumper.
"February 16, 2017",home,Silas Melson missed Three Point Jumpe,3155940,70,2,0.88,0.06,Gonzaga,San Francisco,0,0,0,Silas Melson missed Three Point Jumper.
"February 16, 2017",home,Jordan Mathews missed Three Point Jumpe,66328,71,2,0.81,0.08,Gonzaga,San Francisco,0,0,0,Jordan Mathews missed Three Point Jumper.
"February 16, 2017",home,Jordan Mathews,66328,72,2,0.77,0.88,Gonzaga,San Francisco,1,0,0,Jordan Mathews made Three Point Jumper. Assisted by Nigel Williams-Goss.
"February 16, 2017",home,Przemek Karnowski,62585,73,2,0.9,0.5,Gonzaga,San Francisco,1,0,0,Przemek Karnowski made Layup. Assisted by Nigel Williams-Goss.
"February 16, 2017",home,Przemek Karnowski,62585,75,2,0.92,0.62,Gonzaga,San Francisco,1,0,0,Przemek Karnowski made Jumper. Assisted by Jordan Mathews.
"February 16, 2017",home,Johnathan Williams,66260,78,2,0.87,0.52,Gonzaga,San Francisco,1,0,0,Johnathan Williams made Jumper. Assisted by Jordan Mathews.
